Date,Price,High,Low,Close
05/10/22, 73.92, 74.62, 71.61, 73.84
05/09/22, 72.82, 74.51, 70.32, 73.92
05/06/22, 68.53, 72.82, 68.18, 72.78
05/05/22, 70.23, 72.67, 67.37, 68.51
05/04/22, 71.81, 72.06, 67.89, 70.24
05/03/22, 74.25, 75.37, 69.63, 71.80
05/02/22, 77.45, 77.45, 73.52, 74.28
04/29/22, 76.38, 77.56, 73.17, 75.26
04/28/22, 77.87, 79.07, 74.60, 76.38
04/27/22, 78.98, 82.10, 76.06, 77.88
04/26/22, 80.38, 81.42, 77.22, 80.45
04/25/22, 83.83, 87.34, 78.40, 80.36
04/22/22, 87.63, 88.04, 81.38, 83.55
04/21/22, 89.29, 91.45, 81.88, 87.62
04/20/22, 87.12, 91.81, 84.89, 89.28
04/19/22, 87.47, 88.38, 85.34, 87.11
04/18/22, 89.92, 91.39, 85.65, 87.46
04/15/22, 89.47, 90.28, 86.79, 87.33
04/14/22, 89.84, 91.20, 88.25, 89.50
04/13/22, 92.45, 92.57, 86.55, 89.85
04/12/22, 90.89, 93.63, 86.28, 92.42
04/11/22, 87.60, 93.04, 86.58, 90.89
04/08/22, 85.54, 88.74, 82.68, 87.29
04/07/22, 89.90, 91.56, 84.12, 86.24
04/06/22, 91.89, 92.56, 88.39, 89.89
04/05/22, 92.17, 94.48, 90.75, 91.87
04/04/22, 99.36, 99.36, 88.27, 91.62
04/01/22, 90.46, 98.55, 89.65, 94.72
03/31/22, 93.17, 94.16, 89.17, 90.47
03/30/22, 97.00, 101.11, 92.05, 93.19
03/29/22, 104.34, 107.76, 92.60, 97.02
03/28/22, 110.83, 114.22, 103.26, 104.39
03/25/22, 112.44, 113.23, 107.50, 112.03
03/24/22, 106.47, 113.89, 105.29, 112.45
03/23/22, 116.96, 118.10, 104.55, 106.48
03/22/22, 117.48, 120.91, 113.52, 116.96
03/21/22, 117.91, 127.15, 111.57, 117.50
03/18/22, 113.97, 124.30, 111.75, 117.69
03/17/22, 108.14, 145.66, 106.23, 113.99
03/16/22, 116.69, 128.32, 105.58, 109.26
03/15/22, 133.47, 133.98, 114.09, 116.67
03/14/22, 142.02, 145.55, 120.73, 133.50
03/11/22, 146.67, 149.31, 124.25, 146.21
03/10/22, 152.30, 155.03, 128.17, 146.70
03/09/22, 138.94, 154.25, 127.10, 151.20
03/08/22, 155.22, 155.46, 70.54, 138.96
03/07/22, 120.12, 155.25, 118.79, 155.21
03/04/22, 121.76, 128.22, 110.37, 116.43
03/03/22, 114.36, 131.58, 108.22, 121.73
03/02/22, 121.84, 130.00, 109.15, 114.37
03/01/22, 121.16, 131.37, 100.29, 121.80
02/28/22, 93.04, 127.57, 92.91, 121.19
02/25/22, 94.42, 96.36, 91.73, 94.54
02/24/22, 92.06, 100.95, 91.84, 94.43
02/23/22, 89.27, 92.37, 88.98, 92.04
02/22/22, 90.72, 91.41, 89.01, 89.28
02/21/22, 87.63, 90.78, 86.64, 90.78
02/18/22, 86.55, 87.78, 85.99, 87.57
02/17/22, 85.39, 87.08, 85.22, 86.64
02/16/22, 85.72, 85.83, 85.16, 85.42
02/15/22, 86.50, 86.90, 85.20, 85.70
02/14/22, 87.17, 88.71, 86.16, 86.51
02/11/22, 85.74, 88.21, 85.19, 87.15
02/10/22, 85.50, 85.90, 84.82, 85.75
02/09/22, 85.67, 85.92, 84.97, 85.44
02/08/22, 86.28, 86.53, 85.61, 85.68
02/07/22, 86.97, 87.27, 86.14, 86.28
02/04/22, 87.23, 87.64, 86.71, 86.71
02/03/22, 86.16, 87.75, 85.87, 87.24
02/02/22, 86.68, 86.71, 85.71, 86.16
02/01/22, 86.88, 87.26, 85.94, 86.67
01/31/22, 86.68, 87.07, 86.24, 86.86
01/28/22, 86.90, 87.38, 86.18, 87.16
01/27/22, 88.98, 89.47, 86.28, 86.89
01/26/22, 88.94, 90.70, 88.77, 88.99
01/25/22, 89.28, 89.51, 88.48, 88.95
01/24/22, 87.83, 89.95, 87.13, 89.27
01/21/22, 86.18, 88.22, 86.08, 88.02
01/20/22, 86.40, 87.20, 86.16, 86.16
01/19/22, 87.21, 87.42, 86.00, 86.38
01/18/22, 87.30, 87.50, 86.41, 87.26
01/17/22, 87.03, 87.79, 86.21, 87.07
01/14/22, 87.62, 88.16, 86.73, 87.03
01/13/22, 85.33, 87.82, 85.24, 87.61
01/12/22, 84.61, 85.63, 84.52, 85.33
01/11/22, 84.93, 85.25, 84.46, 84.63
01/10/22, 85.73, 86.16, 84.77, 84.94
01/07/22, 86.18, 86.50, 85.19, 86.03
01/06/22, 86.88, 87.50, 85.98, 86.21
01/05/22, 84.81, 86.94, 84.69, 86.87
01/04/22, 84.16, 85.32, 84.04, 84.92
01/03/22, 85.03, 85.98, 84.08, 84.17
