Store code,the date,Number of sales,Unit cost,Selling price,Store code
1153470,07/01/2015,  1    ,  75    ,  66    ,
1153511,07/01/2015,  2    ,  63    ,  69    ,
1153515,07/01/2015,  1    ,  72    ,  63    ,
1156629,07/01/2015,  1    ,  57    ,  55    ,
1160923,07/01/2015,  1    ,  80    ,  73    ,
1161130,07/01/2015,  1    ,  41    ,  44    ,
1166831,07/01/2015,  3    ,  79    ,  73    ,
1181034,07/01/2015,  2    ,  78    ,  91    ,
1225244,07/01/2015,  1    ,  41    ,  47    ,
1276755,07/01/2015,  2    ,  69    ,  63    ,
1294432,07/01/2015,  1    ,  80    ,  104    ,
1319605,07/01/2015,  2    ,  69    ,  63    ,
1333626,07/01/2015,  2    ,  77    ,  73    ,
1340370,07/01/2015,  1    ,  100    ,  115    ,
1348033,07/01/2015,  1    ,  48    ,  44    ,
1370669,07/01/2015,  1    ,  117    ,  135    ,
1372999,07/01/2015,  1    ,  75    ,  66    ,
1380788,07/01/2015,  2    ,  70    ,  73    ,
1455486,07/01/2015,  1    ,  80    ,  73    ,
1457717,07/01/2015,  1    ,  41    ,  47    ,
1463048,07/01/2015,  1    ,  67    ,  68    ,
1463452,07/01/2015,  2    ,  70    ,  87    ,
